ID,age,workclass,fnlwgt,education,education_cat,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hour_per_week,native_country,class
26349,59, ?,375049, HS-grad,9,0, ?,2,0,0,0,0,41,0, >50K
31689,34,3,343789, Bachelors,13,0,4,2,0,0,7688,0,55,0, >50K
3343,40,4,181015, HS-grad,9,6,2,5,0,1,0,0,47,0, <=50K
3196,30,4,125279, HS-grad,9,4,3,5,0,0,0,0,40,0, <=50K
25772,44,4,187629, Assoc-acdm,12,2,1,3,0,0,0,0,25,0, <=50K
25312,29,4,82242, Prof-school,15,2,5,5,0,0,27828,0,45,5, >50K
305,24,4,303296, Some-college,10,0,8,0,1,1,0,0,40,25, <=50K
25132,49,2,215096, 9th,5,1,2,3,0,1,0,0,20,0, <=50K
23529,72,6,217864, HS-grad,9,0,8,2,0,0,0,0,40,0, >50K
20327,26,4,59367, Bachelors,13,2,7,4,0,0,0,0,40,0, <=50K
15513,24,4,314165, Some-college,10,2,4,1,0,0,0,0,20,0, <=50K
5053,39,4,56648, HS-grad,9,6,3,3,0,1,0,0,47,0, <=50K
265,26,4,378322, 11th,7,0,1,2,0,0,0,0,40,0, <=50K
14594,27,4,179915, Bachelors,13,2,4,1,0,1,0,0,99,0, <=50K
15878,37,4,79586, Bachelors,13,0,4,2,1,0,0,0,40,13, <=50K
12565,64,4,391121, 7th-8th,4,0,9,2,0,0,0,0,40,0, >50K
14986,50,5,120190, Masters,14,1,5,3,0,1,0,0,45,0, <=50K
23003,38,4,204501, Bachelors,13,0,4,2,0,0,0,0,55,0, >50K
1784,39,4,238415, Bachelors,13,0,4,2,0,0,0,0,50,0, >50K
11441,67,4,174603, HS-grad,9,2,4,3,0,1,0,0,35,0, <=50K
25888,31,4,165949, HS-grad,9,1,2,5,0,1,0,0,40,0, <=50K
26948,25,4,96268, 11th,7,1,4,5,0,1,0,0,40,0, <=50K
7666,45,4,170600, Assoc-voc,11,1,8,5,3,1,0,0,40,0, <=50K
11414,17, ?,237078, 11th,7,2, ?,1,0,1,0,0,35,0, <=50K
27628,48,4,189462, Some-college,10,1,6,1,0,0,2176,0,40,0, <=50K
27527,23,4,71864, Some-college,10,2,4,3,0,1,0,0,35,0, <=50K
9540,52,5,192563, Some-college,10,1,4,3,0,1,0,0,38,0, <=50K
4741,33,4,135312, Bachelors,13,2,5,3,0,0,0,0,40,0, >50K
22696,33,4,288273, 12th,8,6,8,5,0,1,1471,0,40,0, <=50K
3347,27,4,58654, Assoc-voc,11,6,8,5,0,1,0,0,40,0, <=50K
1088,29,4,201954, Bachelors,13,2,4,3,0,0,0,0,35,0, <=50K
32216,55,4,176897, Some-college,10,1,0,3,0,0,0,0,40,0, <=50K
1125,48,4,95244, Some-college,10,1,2,5,3,1,0,0,35,0, <=50K
10908,25,4,88922, HS-grad,9,0,10,2,3,0,0,0,40,0, <=50K
29495,39,7,142897, Assoc-voc,11,2,4,5,0,1,0,0,50,0, <=50K
19895,23,5,324637, Some-college,10,2,8,3,0,0,0,0,30,0, <=50K
9227,42,4,152568, HS-grad,9,3,3,5,2,1,0,0,40,0, <=50K
23779,68,4,168794, 7th-8th,4,0,2,2,0,0,0,0,30,0, <=50K
26880,41,4,178431, HS-grad,9,0,1,2,1,0,0,0,40,27, <=50K
10129,17,4,186677, 11th,7,2,6,1,0,0,0,0,12,0, <=50K
15874,58,4,314153, HS-grad,9,0,1,2,0,0,0,0,40,0, >50K
22473,25,4,267431, Bachelors,13,2,5,1,3,1,0,0,55,0, <=50K
20671,40,6,241895, HS-grad,9,0,8,2,0,0,0,0,40,0, <=50K
20750,37,4,120074, HS-grad,9,2,10,3,0,0,0,0,40,0, <=50K
31509,48,7,50748, Bachelors,13,1,8,5,0,1,0,0,40,0, <=50K
13364,21,4,203076, HS-grad,9,2,6,1,0,0,0,0,35,0, <=50K
3848,44,4,103459, HS-grad,9,0,3,0,0,1,0,0,40,0, >50K
16949,27,4,29732, Bachelors,13,2,5,3,0,1,4865,0,36,0, <=50K
7252,18,4,236262, 11th,7,2,6,1,0,0,0,0,12,0, <=50K
15671,31,4,145139, Bachelors,13,0,1,2,0,0,0,0,40,0, >50K
11927,43,4,186188, Some-college,10,1,8,5,0,1,0,0,40,0, <=50K
31679,61,6,181081, HS-grad,9,1,8,1,3,1,0,0,20,0, <=50K
12510,36,4,193855, HS-grad,9,0,1,2,0,0,0,0,40,0, <=50K
