"Trans. ID","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class"
"49","5","0.17500000000000004","Iris-versicolor","8","0.22499999999999998","Iris-versicolor","9","0.25","Iris-versicolor","6","0.4500000000000002","Iris-versicolor","10","0.4500000000000002","Iris-versicolor"
"50","11","0.0","Iris-virginica","14","0.32499999999999984","Iris-virginica","13","0.34999999999999987","Iris-virginica","10","0.9","Iris-versicolor","7","1.525","Iris-versicolor"
"51","12","0.0","Iris-virginica","13","0.02499999999999991","Iris-virginica","14","0.1000000000000002","Iris-virginica","11","0.3749999999999998","Iris-virginica","1","2.1999999999999997","Iris-setosa"
"52","13","0.0","Iris-virginica","12","0.02499999999999991","Iris-virginica","14","0.1250000000000001","Iris-virginica","6","1.0499999999999998","Iris-versicolor","1","2.175","Iris-setosa"
"53","14","0.0","Iris-virginica","12","0.1000000000000002","Iris-virginica","11","0.32499999999999984","Iris-virginica","10","1.1749999999999998","Iris-versicolor","7","1.75","Iris-versicolor"
"54","11","0.1499999999999998","Iris-virginica","8","0.3749999999999999","Iris-versicolor","14","0.4249999999999998","Iris-virginica","13","0.44999999999999984","Iris-virginica","7","1.625","Iris-versicolor"
"55","12","0.525","Iris-virginica","13","0.5499999999999999","Iris-virginica","14","0.575","Iris-virginica","11","0.8999999999999998","Iris-virginica","1","2.7249999999999996","Iris-setosa"
"56","11","0.19999999999999984","Iris-virginica","14","0.375","Iris-virginica","13","0.4","Iris-virginica","5","0.7249999999999999","Iris-versicolor","7","1.375","Iris-versicolor"
"57","14","0.12500000000000022","Iris-virginica","12","0.17500000000000016","Iris-virginica","11","0.29999999999999993","Iris-virginica","10","1.2","Iris-versicolor","7","1.825","Iris-versicolor"
"58","11","0.2500000000000002","Iris-virginica","14","0.3749999999999999","Iris-virginica","13","0.3999999999999999","Iris-virginica","5","0.775","Iris-versicolor","7","1.725","Iris-versicolor"
"59","11","0.22499999999999998","Iris-virginica","14","0.34999999999999987","Iris-virginica","13","0.3749999999999999","Iris-virginica","10","0.825","Iris-versicolor","7","1.4000000000000001","Iris-versicolor"
"60","12","0.12499999999999989","Iris-virginica","13","0.1499999999999998","Iris-virginica","14","0.2250000000000001","Iris-virginica","11","0.4","Iris-virginica","1","2.225","Iris-setosa"
"61","14","0.42500000000000016","Iris-virginica","12","0.5250000000000004","Iris-virginica","11","0.6500000000000001","Iris-virginica","10","1.5500000000000003","Iris-versicolor","7","2.175","Iris-versicolor"
"62","11","0.2250000000000001","Iris-virginica","8","0.24999999999999978","Iris-versicolor","5","0.5499999999999999","Iris-versicolor","14","0.5499999999999999","Iris-virginica","13","0.575","Iris-virginica"
"63","12","0.20000000000000007","Iris-virginica","13","0.22499999999999998","Iris-virginica","14","0.25","Iris-virginica","11","0.5749999999999998","Iris-virginica","1","2.4","Iris-setosa"
"64","11","0.2499999999999999","Iris-virginica","8","0.32499999999999984","Iris-versicolor","14","0.5249999999999999","Iris-virginica","13","0.5499999999999999","Iris-virginica","7","1.625","Iris-versicolor"
"65","13","0.2999999999999997","Iris-virginica","12","0.3249999999999996","Iris-virginica","14","0.4249999999999998","Iris-virginica","6","0.9500000000000002","Iris-versicolor","1","2.075","Iris-setosa"
"66","14","0.32499999999999996","Iris-virginica","12","0.42500000000000016","Iris-virginica","11","0.5499999999999999","Iris-virginica","10","1.45","Iris-versicolor","7","2.075","Iris-versicolor"
"67","11","0.1250000000000001","Iris-virginica","14","0.19999999999999973","Iris-virginica","13","0.22499999999999976","Iris-virginica","10","0.9750000000000001","Iris-versicolor","7","1.6","Iris-versicolor"
"68","11","0.2250000000000002","Iris-virginica","8","0.24999999999999967","Iris-versicolor","5","0.5499999999999998","Iris-versicolor","14","0.55","Iris-virginica","13","0.5750000000000001","Iris-virginica"
"69","14","0.6000000000000001","Iris-virginica","12","0.7000000000000003","Iris-virginica","11","0.8250000000000001","Iris-virginica","10","1.725","Iris-versicolor","7","2.35","Iris-versicolor"
